ACK_Flag_Count,Active_Max,Active_Min,Active_Std,Average_Packet_Size,Avg_Bwd_Segment_Size,Avg_Fwd_Segment_Size,Bwd_Header_Length,Bwd_IAT_Max,Bwd_IAT_Mean,Bwd_IAT_Min,Bwd_IAT_Std,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Min,Bwd_Packet_Length_Std,Bwd_Packetss,Destination_Port,DownUp_Ratio,Flow_Duration,Flow_IAT_Max,Flow_IAT_Mean,Flow_IAT_Min,Flow_IAT_Std,Flow_Packetss,Fwd_Header_Length,Fwd_Header_Length1,Fwd_IAT_Max,Fwd_IAT_Mean,Fwd_IAT_Min,Fwd_IAT_Std,Fwd_Packet_Length_Max,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Min,Fwd_Packet_Length_Std,Idle_Max,Idle_Min,Idle_Std,Init_Win_bytes_backward,Max_Packet_Length,Min_Packet_Length,PSH_Flag_Count,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,Protocol,SYN_Flag_Count,Source_Port,Subflow_Bwd_Bytes,Subflow_Bwd_Packets,Subflow_Fwd_Bytes,Total_Backward_Packets,Total_Fwd_Packets,Total_Length_of_Bwd_Packets,URG_Flag_Count,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Bwd_IAT_Total,Bwd_Packet_Length_Max,FIN_Flag_Count,Flow_Bytess,Fwd_IAT_Total,Fwd_PSH_Flags,Fwd_Packetss,Idle_Mean,Init_Win_bytes_forward,Subflow_Fwd_Packets,Total_Length_of_Fwd_Packets,Label
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,5605370.0,5605370.0,5605370.0,5605370.0,0.0,0.3568007107470158,40.0,40.0,5605370.0,5605370.0,5605370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,37693.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5605370.0,0.0,0.3568007107470158,0.0,65535.0,2.0,0.0,0
0.0,0.0,0.0,0.0,510.1463414634146,764.8695652173913,184.66666666666663,472.0,165628.0,45334.40909090908,10.0,56359.26545844216,764.8695652173913,0.0,641.3622082828382,21.40000707130668,443.0,1.0,1074766.0,104455.0,26869.15,10.0,38778.6745251258,38.1478386923293,380.0,380.0,108068.0,63221.52941176471,127.0,46182.78787345677,517.0,184.66666666666663,0.0,208.8934431432334,0.0,0.0,0.0,46.0,1429.0,0.0,1.0,498.0,572.6419304310547,327918.7804878049,6.0,0.0,50162.0,17592.0,23.0,3324.0,23.0,18.0,17592.0,0.0,9.0,20.0,0.0,997357.0,1429.0,0.0,19460.980343628285,1074766.0,0.0,16.74783162102262,0.0,65535.0,18.0,3324.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.20733520568314,44188.0,1.0,6053.0,6053.0,6053.0,6053.0,0.0,330.4146704113663,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,80.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.20733520568314,0.0,502.0,1.0,0.0,0
1.0,0.0,0.0,0.0,10.333333333333334,15.5,0.0,64.0,12.0,12.0,12.0,0.0,15.5,0.0,21.920310216782973,80.8996035919424,443.0,2.0,24722.0,24710.0,12361.0,12.0,17464.12328174535,121.3494053879136,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,31.0,0.0,0.0,7.75,15.500000000000002,240.25000000000003,6.0,0.0,46289.0,31.0,2.0,0.0,2.0,1.0,31.0,1.0,0.0,32.0,0.0,12.0,31.0,0.0,1253.9438556751072,0.0,0.0,40.4498017959712,0.0,1486.0,1.0,0.0,0
0.0,0.0,0.0,0.0,101.5,143.0,30.0,40.0,0.0,0.0,0.0,0.0,143.0,143.0,0.0,7.23808972336021,53.0,1.0,138158.0,138158.0,138158.0,138158.0,0.0,14.47617944672042,40.0,40.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,-1.0,143.0,30.0,0.0,67.66666666666666,65.24058041842771,4256.333333333333,17.0,0.0,6341.0,143.0,1.0,30.0,1.0,1.0,143.0,0.0,0.0,40.0,0.0,0.0,143.0,0.0,1252.1895221413165,0.0,0.0,7.23808972336021,0.0,-1.0,1.0,30.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0920344462844175,80.0,0.0,10865497.0,10831422.0,3621832.3333333335,10811.0,6243690.906874102,0.3681377851376702,104.0,104.0,10831422.0,5432748.5,34075.0,7634877.282524225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,55165.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,10865497.0,0.0,0.2761033388532526,0.0,65535.0,3.0,0.0,0
1.0,0.0,0.0,0.0,23.0,0.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.45744096650192,443.0,1.0,36420.0,36420.0,36420.0,36420.0,0.0,54.91488193300384,32.0,32.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,362.0,23.0,0.0,0.0,15.333333333333332,13.279056191361391,176.33333333333334,6.0,1.0,53142.0,0.0,1.0,23.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,631.5211422295442,0.0,1.0,27.45744096650192,0.0,1419.0,1.0,23.0,0
0.0,78249.0,78249.0,0.0,618.5952380952381,1176.857142857143,60.333333333333336,680.0,6085566.0,347166.4,4.0,1362937.0721733498,1176.857142857143,0.0,561.4644499622648,3.012135031431629,80.0,1.0,6971799.0,6044998.0,170043.8780487805,4.0,947906.514725086,6.024270062863258,680.0,680.0,6044998.0,348589.95,5.0,1351382.4098975747,425.0,60.33333333333334,0.0,151.4375558880073,6044998.0,6044998.0,0.0,1006.0,1448.0,0.0,1.0,604.2093023255813,693.9679064261555,481591.4551495015,6.0,0.0,60322.0,24714.0,21.0,1267.0,21.0,21.0,24714.0,0.0,3.0,32.0,78249.0,6943328.0,1448.0,0.0,3726.584773886912,6971799.0,0.0,3.012135031431629,6044998.0,65535.0,21.0,1267.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,22162133.0,22162133.0,22162133.0,22162133.0,0.0,0.0902440211869498,40.0,40.0,22162133.0,22162133.0,22162133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,51229.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,22162133.0,0.0,0.0902440211869498,0.0,1369.0,2.0,0.0,0
0.0,0.0,0.0,0.0,768.16,1107.6470588235295,46.75,552.0,29979016.0,1890077.5625,5.0,7490664.850869506,1107.6470588235295,0.0,588.4572989156127,0.5575720714379705,80.0,2.0,30489332.0,29973683.0,1270388.8333333333,5.0,6114173.395686557,0.8199589285852507,264.0,264.0,251594.0,73664.14285714287,116.0,121546.67159357424,374.0,46.74999999999999,0.0,132.22896808188435,0.0,0.0,0.0,486.0,1448.0,0.0,1.0,738.6153846153845,702.937042809558,494120.4861538463,6.0,0.0,56629.0,18830.0,17.0,374.0,17.0,8.0,18830.0,0.0,1.0,32.0,0.0,30241241.0,1448.0,0.0,629.8596505820461,515649.0,0.0,0.2623868571472802,0.0,65535.0,8.0,374.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.96166945321692,80.0,1.0,32298.0,32298.0,32298.0,32298.0,0.0,61.92333890643384,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,43375.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.96166945321692,0.0,3043.0,1.0,0.0,0
0.0,0.0,0.0,0.0,72.0,48.0,48.0,40.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,58.64070837975723,123.0,1.0,17053.0,17053.0,17053.0,17053.0,0.0,117.28141675951446,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,-1.0,48.0,48.0,0.0,48.0,0.0,0.0,17.0,0.0,60663.0,48.0,1.0,48.0,1.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,5629.508004456694,0.0,0.0,58.64070837975723,0.0,-1.0,1.0,48.0,0
0.0,0.0,0.0,0.0,251.69565217391303,388.45454545454544,126.33333333333331,232.0,17099333.0,1747690.1999999995,28.0,5394398.4100212855,388.4545454545455,0.0,560.3922489892885,0.6283713192364512,443.0,0.0,17505573.0,17095174.0,795707.8636363635,28.0,3640666.767197385,1.3138673038580344,260.0,260.0,134990.0,37309.0,55.0,40215.44432428914,501.0,126.33333333333331,0.0,199.54964446488148,0.0,0.0,0.0,5120.0,1460.0,0.0,1.0,241.2083333333333,418.7687936513797,175367.30253623184,6.0,0.0,54741.0,4273.0,11.0,1516.0,11.0,12.0,4273.0,0.0,4.0,20.0,0.0,17476902.0,1460.0,0.0,330.69468791452874,410399.0,0.0,0.6854959846215831,0.0,65535.0,12.0,1516.0,0
1.0,0.0,0.0,0.0,10.333333333333334,0.0,15.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167520740449713,443.0,0.0,59694101.0,59657553.0,29847050.5,36548.0,42158416.936657056,0.0502562221349141,76.0,76.0,59657553.0,59657553.0,59657553.0,0.0,31.0,15.5,0.0,21.920310216782973,59657553.0,59657553.0,0.0,0.0,31.0,0.0,0.0,7.75,15.500000000000002,240.25000000000003,6.0,0.0,35835.0,0.0,1.0,31.0,1.0,2.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.5193142953941127,59657553.0,0.0,0.0335041480899427,59657553.0,2897.0,2.0,31.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,60983.0,60983.0,60983.0,60983.0,0.0,32.79602512175524,64.0,64.0,60983.0,60983.0,60983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,48574.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,60983.0,0.0,32.79602512175524,0.0,349.0,2.0,0.0,0
